item_id,timestamp,Amazon_OrderCount,Amazon_NumberOfPieces,Amazon_TotalRevenue,Chick-Fil-A_OrderCount,Chick-Fil-A_NumberOfPieces,Chick-Fil-A_TotalRevenue,Chipotle_OrderCount,Chipotle_NumberOfPieces,Chipotle_TotalRevenue,Costco_OrderCount,Costco_NumberOfPieces,Costco_TotalRevenue,Home_Depot_OrderCount,Home_Depot_NumberOfPieces,Home_Depot_TotalRevenue,Home_Goods_OrderCount,Home_Goods_NumberOfPieces,Home_Goods_TotalRevenue,Lowes_OrderCount,Lowes_NumberOfPieces,Lowes_TotalRevenue,Shein_OrderCount,Shein_NumberOfPieces,Shein_TotalRevenue,Starbucks_OrderCount,Starbucks_NumberOfPieces,Starbucks_TotalRevenue,T.J._Maxx_OrderCount,T.J._Maxx_NumberOfPieces,T.J._Maxx_TotalRevenue,Target_OrderCount,Target_NumberOfPieces,Target_TotalRevenue,Walmart_OrderCount,Walmart_NumberOfPieces,Walmart_TotalRevenue
item0,2020-01-13T00:00:00,603.0,2990.0,51232.73828125,63.0,315.0,4424.77978515625,264.0,1320.0,12152.3701171875,277.0,1354.0,33590.30078125,367.0,1779.0,79489.1875,41.0,205.0,1716.8800048828125,46.0,230.0,9459.8798828125,382.0,1927.0,38253.75,448.0,2290.0,25272.880859375,37.0,148.0,1500.780029296875,549.0,2674.0,27056.740234375,112.0,520.0,4076.43994140625
item0,2020-01-14T00:00:00,660.0,3411.0,52895.66015625,190.0,911.0,11030.919921875,196.0,907.0,8919.349609375,285.0,1404.0,36513.6796875,383.0,1828.0,116228.421875,100.0,559.0,5924.990234375,123.0,642.0,26501.509765625,239.0,1195.0,18807.650390625,475.0,2408.0,24247.810546875,86.0,430.0,2102.35009765625,706.0,3880.0,39198.03125,208.0,1040.0,16008.259765625
item0,2020-01-15T00:00:00,366.0,1990.0,30810.419921875,32.0,160.0,2016.72998046875,119.0,620.0,7468.97998046875,144.0,712.0,20358.599609375,190.0,978.0,38727.51953125,155.0,809.0,6584.97998046875,34.0,170.0,7960.7001953125,143.0,759.0,15249.91015625,164.0,861.0,10836.83984375,43.0,258.0,1261.4100341796875,335.0,1622.0,16959.9296875,104.0,588.0,9446.4404296875
item0,2020-01-16T00:00:00,354.0,1926.0,28299.849609375,13.0,78.0,711.489990234375,67.0,314.0,4135.39013671875,100.0,493.0,11360.4404296875,265.0,1396.0,68075.7109375,153.0,753.0,7292.8701171875,38.0,216.0,8602.650390625,99.0,486.0,6700.35986328125,145.0,613.0,9662.75,47.0,235.0,930.9099731445312,262.0,1385.0,13509.6904296875,84.0,504.0,7736.52978515625
item0,2020-01-17T00:00:00,326.0,1585.0,22730.9296875,0.0,0.0,0.0,78.0,344.0,4346.47998046875,112.0,588.0,15038.490234375,255.0,1176.0,59213.87890625,122.0,610.0,4456.85009765625,69.0,353.0,13421.91015625,190.0,881.0,14434.2099609375,311.0,1593.0,17461.310546875,43.0,172.0,840.9400024414062,315.0,1577.0,15661.0400390625,56.0,280.0,2349.6298828125
item0,2020-01-18T00:00:00,133.0,729.0,10293.75,12.0,60.0,597.3699951171875,20.0,100.0,1454.75,61.0,297.0,8312.58984375,79.0,398.0,19530.2109375,32.0,187.0,1859.280029296875,27.0,144.0,5475.8798828125,81.0,371.0,6801.2900390625,78.0,393.0,3717.969970703125,0.0,0.0,0.0,77.0,417.0,3799.050048828125,41.0,205.0,3169.280029296875
item0,2020-01-19T00:00:00,144.0,733.0,11246.080078125,12.0,60.0,597.3699951171875,55.0,246.0,2415.56005859375,53.0,260.0,7321.259765625,124.0,651.0,37203.05859375,41.0,239.0,2170.02001953125,10.0,50.0,2599.8701171875,47.0,249.0,5040.919921875,106.0,537.0,6299.1298828125,0.0,0.0,0.0,116.0,565.0,5608.330078125,41.0,219.0,3230.929931640625
item0,2020-01-20T00:00:00,513.0,2375.0,36082.421875,66.0,303.0,3907.719970703125,212.0,1060.0,8942.5498046875,321.0,1730.0,43728.9609375,622.0,2945.0,131309.296875,434.0,2105.0,16548.48046875,88.0,457.0,13545.580078125,192.0,960.0,18344.390625,464.0,2213.0,25866.5,131.0,655.0,3737.81005859375,539.0,2736.0,25416.98046875,208.0,1104.0,18575.83984375
item0,2020-01-21T00:00:00,715.0,3709.0,54621.83984375,129.0,621.0,8278.349609375,137.0,685.0,9757.509765625,279.0,1459.0,33024.23046875,336.0,1569.0,64640.109375,170.0,843.0,7342.97998046875,140.0,654.0,24662.470703125,298.0,1617.0,25733.73046875,304.0,1590.0,15372.3896484375,37.0,185.0,1875.97998046875,436.0,2349.0,29729.990234375,208.0,1040.0,16008.259765625
item0,2020-01-22T00:00:00,287.0,1355.0,19148.23046875,95.0,475.0,4761.85986328125,110.0,517.0,6321.169921875,107.0,535.0,13037.5302734375,333.0,1729.0,83875.7421875,122.0,610.0,5429.91015625,57.0,300.0,13396.419921875,128.0,663.0,11682.33984375,183.0,930.0,11512.330078125,90.0,360.0,1585.6700439453125,219.0,1095.0,12105.5703125,104.0,544.0,9948.900390625
item0,2020-01-23T00:00:00,366.0,1585.0,24646.619140625,65.0,371.0,3637.360107421875,91.0,455.0,5524.7900390625,127.0,642.0,14811.7900390625,208.0,1136.0,56983.7109375,59.0,295.0,3242.679931640625,0.0,0.0,0.0,140.0,744.0,11847.01953125,161.0,840.0,9983.66015625,18.0,126.0,1277.68994140625,247.0,1257.0,10088.1796875,104.0,500.0,7692.72998046875
item0,2020-01-24T00:00:00,198.0,1030.0,16409.25,19.0,95.0,1423.8299560546875,167.0,984.0,10301.5302734375,121.0,569.0,13996.009765625,272.0,1388.0,63437.98828125,132.0,642.0,6285.2001953125,43.0,203.0,6323.830078125,189.0,964.0,17883.119140625,16.0,80.0,346.5,141.0,748.0,4595.60009765625,314.0,1743.0,17573.009765625,84.0,420.0,6447.10986328125
item0,2020-01-25T00:00:00,116.0,600.0,9008.8095703125,24.0,108.0,1320.7099609375,53.0,247.0,3471.469970703125,61.0,341.0,8844.58984375,104.0,544.0,23994.150390625,32.0,173.0,1534.6800537109375,19.0,105.0,4970.68994140625,41.0,218.0,3798.8798828125,79.0,421.0,4730.85009765625,31.0,155.0,943.739990234375,97.0,500.0,5206.10986328125,27.0,135.0,2861.050048828125
item0,2020-01-26T00:00:00,131.0,576.0,9051.23046875,17.0,73.0,902.2899780273438,24.0,102.0,1516.72998046875,27.0,135.0,3399.389892578125,69.0,341.0,20245.859375,46.0,230.0,2033.6700439453125,14.0,61.0,1685.2900390625,55.0,281.0,4702.33984375,60.0,309.0,3651.239990234375,7.0,35.0,354.9100036621094,129.0,664.0,6763.18017578125,41.0,232.0,3741.489990234375
item0,2020-01-27T00:00:00,685.0,3174.0,49743.71875,190.0,1011.0,12222.76953125,172.0,892.0,8308.7900390625,235.0,1237.0,28327.439453125,460.0,2446.0,106960.9375,323.0,1674.0,16871.140625,123.0,640.0,24206.859375,429.0,2234.0,39892.1015625,544.0,2808.0,33056.171875,94.0,470.0,1861.8299560546875,532.0,2785.0,30026.83984375,208.0,1040.0,16008.259765625
item0,2020-01-28T00:00:00,582.0,2905.0,41302.328125,90.0,513.0,6541.14990234375,240.0,1244.0,13608.1298828125,257.0,1280.0,37170.390625,422.0,2060.0,122010.4609375,99.0,495.0,4111.18994140625,88.0,465.0,13239.740234375,192.0,890.0,14840.740234375,441.0,2205.0,20436.220703125,217.0,1085.0,5840.16015625,530.0,2838.0,27135.76953125,208.0,1040.0,16008.259765625
item0,2020-01-29T00:00:00,305.0,1571.0,22937.80078125,32.0,147.0,1898.1500244140625,82.0,482.0,4781.72021484375,81.0,414.0,9340.490234375,197.0,928.0,51845.421875,165.0,912.0,7695.72021484375,26.0,130.0,6759.66015625,61.0,305.0,5145.72998046875,155.0,770.0,10231.66015625,47.0,282.0,1117.0999755859375,204.0,983.0,8040.4501953125,84.0,372.0,5316.2099609375
item0,2020-01-30T00:00:00,351.0,1675.0,24857.509765625,19.0,95.0,1423.8299560546875,158.0,790.0,8431.73046875,75.0,323.0,8007.22998046875,216.0,1100.0,52212.33984375,18.0,90.0,1179.6099853515625,12.0,60.0,491.05999755859375,99.0,496.0,6790.68994140625,161.0,805.0,7345.68994140625,90.0,364.0,1561.6199951171875,373.0,1930.0,19719.359375,104.0,536.0,7851.25
item0,2020-01-31T00:00:00,322.0,1568.0,22418.640625,0.0,0.0,0.0,29.0,128.0,2170.1201171875,161.0,822.0,22880.98046875,366.0,1857.0,83370.3984375,175.0,857.0,8251.1904296875,20.0,100.0,1692.0999755859375,59.0,295.0,4246.330078125,264.0,1352.0,16156.6201171875,33.0,198.0,1788.77001953125,152.0,744.0,9007.3798828125,104.0,504.0,8157.02001953125
item0,2020-02-01T00:00:00,129.0,628.0,9413.400390625,17.0,97.0,944.8900146484375,52.0,256.0,3095.35009765625,70.0,339.0,9005.0703125,101.0,523.0,26145.419921875,61.0,305.0,2770.929931640625,9.0,45.0,1850.8499755859375,33.0,164.0,2809.72998046875,83.0,415.0,5033.18017578125,0.0,0.0,0.0,131.0,636.0,6388.85009765625,33.0,217.0,3503.419921875
item0,2020-02-02T00:00:00,144.0,732.0,11332.3896484375,25.0,115.0,1154.489990234375,34.0,152.0,2010.3499755859375,64.0,325.0,8022.83984375,52.0,243.0,12301.6103515625,71.0,341.0,3051.6201171875,18.0,85.0,2775.820068359375,0.0,0.0,0.0,98.0,476.0,5649.10986328125,24.0,120.0,770.489990234375,88.0,440.0,4624.0400390625,41.0,186.0,2721.6298828125
item0,2020-02-03T00:00:00,527.0,2700.0,42882.828125,196.0,1019.0,11704.650390625,172.0,767.0,10023.58984375,258.0,1266.0,36005.80078125,452.0,2082.0,80430.2109375,323.0,1656.0,16513.16015625,98.0,386.0,17571.470703125,342.0,1712.0,30322.380859375,337.0,1639.0,16926.400390625,131.0,692.0,4113.0,597.0,3031.0,32413.0390625,112.0,560.0,4699.25
item0,2020-02-04T00:00:00,740.0,3566.0,53998.6796875,66.0,330.0,4154.009765625,139.0,646.0,8595.1201171875,261.0,1337.0,25265.19921875,599.0,3055.0,119383.4921875,126.0,630.0,5363.18017578125,140.0,648.0,23850.58984375,369.0,1864.0,33102.12109375,328.0,1769.0,18873.759765625,86.0,344.0,1681.8800048828125,527.0,2453.0,28418.5390625,208.0,1040.0,16008.259765625
item0,2020-02-05T00:00:00,354.0,1748.0,27085.7109375,46.0,217.0,1726.02001953125,29.0,145.0,2460.659912109375,131.0,643.0,14675.2197265625,296.0,1529.0,71189.90625,125.0,645.0,6307.240234375,43.0,215.0,6422.0400390625,157.0,805.0,14197.349609375,255.0,1348.0,17421.169921875,51.0,222.0,2105.159912109375,162.0,773.0,6750.080078125,104.0,560.0,8626.9501953125
item0,2020-02-06T00:00:00,366.0,1774.0,27458.23046875,44.0,220.0,2770.169921875,36.0,144.0,1901.4300537109375,131.0,629.0,16392.400390625,290.0,1422.0,73006.328125,123.0,510.0,4212.66015625,12.0,60.0,491.05999755859375,144.0,733.0,11092.9599609375,145.0,791.0,8920.6201171875,80.0,400.0,2421.550048828125,233.0,1169.0,10118.919921875,104.0,504.0,8157.02001953125
item0,2020-02-07T00:00:00,366.0,1947.0,29011.19921875,33.0,165.0,1251.699951171875,179.0,918.0,10226.1796875,202.0,977.0,25399.2109375,345.0,1725.0,75052.671875,147.0,713.0,7230.68994140625,38.0,190.0,7250.72021484375,190.0,862.0,15895.08984375,150.0,749.0,7324.4501953125,0.0,0.0,0.0,333.0,1688.0,16534.810546875,104.0,520.0,8004.14013671875
item0,2020-02-08T00:00:00,128.0,657.0,9090.75,24.0,132.0,1608.75,24.0,116.0,1362.010009765625,48.0,231.0,5565.7900390625,67.0,368.0,17155.560546875,42.0,191.0,1576.2900390625,18.0,90.0,3254.8701171875,55.0,289.0,5412.240234375,51.0,244.0,2362.760009765625,0.0,0.0,0.0,108.0,535.0,5271.8701171875,14.0,70.0,308.2300109863281
item0,2020-02-09T00:00:00,144.0,715.0,10991.33984375,12.0,55.0,707.0,26.0,130.0,1390.6600341796875,51.0,264.0,6921.5400390625,88.0,424.0,16026.830078125,44.0,242.0,2118.929931640625,22.0,103.0,4471.22021484375,25.0,145.0,2058.35009765625,97.0,480.0,5057.66015625,35.0,175.0,772.0999755859375,98.0,490.0,5084.31005859375,41.0,208.0,2907.840087890625
item0,2020-02-10T00:00:00,452.0,2253.0,32726.650390625,61.0,305.0,3036.64990234375,137.0,685.0,9588.2802734375,320.0,1626.0,41755.7109375,409.0,2045.0,95233.7109375,212.0,1001.0,10185.1796875,123.0,569.0,22110.26953125,158.0,738.0,7217.8798828125,214.0,1043.0,14400.9501953125,86.0,602.0,2943.2900390625,517.0,2508.0,28527.91015625,208.0,1040.0,16008.259765625
item0,2020-02-11T00:00:00,740.0,3679.0,54614.3515625,90.0,396.0,5163.6298828125,89.0,445.0,2158.2900390625,304.0,1621.0,42127.62109375,363.0,1800.0,87615.7265625,171.0,855.0,9169.66015625,77.0,437.0,17246.240234375,141.0,653.0,8438.2001953125,264.0,1294.0,18528.390625,103.0,581.0,5453.52978515625,653.0,3221.0,31293.7109375,208.0,968.0,15691.2197265625
item0,2020-02-12T00:00:00,316.0,1508.0,22733.330078125,0.0,0.0,0.0,35.0,193.0,2921.409912109375,128.0,667.0,17965.4296875,316.0,1578.0,70279.9609375,116.0,546.0,5124.43994140625,57.0,293.0,12930.849609375,132.0,607.0,10328.169921875,112.0,545.0,4960.31982421875,0.0,0.0,0.0,315.0,1641.0,17941.060546875,84.0,468.0,7578.009765625
item0,2020-02-13T00:00:00,366.0,1709.0,25382.5,63.0,315.0,2745.1298828125,219.0,1059.0,13769.73046875,122.0,619.0,14768.33984375,226.0,1219.0,61940.0390625,125.0,674.0,5141.0498046875,0.0,0.0,0.0,33.0,165.0,2484.340087890625,246.0,1317.0,12994.6201171875,0.0,0.0,0.0,230.0,1112.0,11264.349609375,104.0,520.0,8004.14013671875
item0,2020-02-14T00:00:00,275.0,1481.0,24768.630859375,0.0,0.0,0.0,149.0,709.0,6941.22021484375,114.0,569.0,13884.740234375,243.0,1168.0,61896.1015625,86.0,430.0,4486.35009765625,57.0,285.0,12690.6396484375,160.0,764.0,13016.099609375,142.0,635.0,8504.25,43.0,215.0,1051.1800537109375,239.0,1115.0,12310.7900390625,104.0,540.0,8315.5400390625
item0,2020-02-15T00:00:00,129.0,634.0,9788.7001953125,12.0,72.0,1011.3800048828125,38.0,190.0,2310.510009765625,37.0,193.0,4602.64990234375,91.0,438.0,17292.73046875,48.0,224.0,1622.6800537109375,17.0,111.0,3377.179931640625,49.0,237.0,4055.800048828125,82.0,396.0,5040.740234375,25.0,132.0,782.4199829101562,90.0,419.0,4216.3798828125,41.0,221.0,3418.39990234375
item0,2020-02-16T00:00:00,129.0,652.0,10091.8701171875,30.0,179.0,1768.5799560546875,44.0,228.0,3045.679931640625,40.0,192.0,5079.2099609375,101.0,435.0,21134.80078125,49.0,221.0,2262.050048828125,27.0,126.0,4735.5498046875,11.0,55.0,578.8499755859375,61.0,307.0,3550.27001953125,24.0,127.0,841.47998046875,98.0,500.0,5393.830078125,33.0,151.0,2484.830078125
item0,2020-02-17T00:00:00,709.0,3633.0,53791.73046875,67.0,335.0,2541.340087890625,173.0,855.0,11883.349609375,323.0,1627.0,47915.9296875,812.0,4031.0,175977.375,131.0,585.0,4273.990234375,94.0,418.0,14390.7099609375,209.0,1029.0,15817.0400390625,498.0,2566.0,31177.919921875,123.0,701.0,4398.7998046875,538.0,2777.0,24714.609375,208.0,1040.0,16008.259765625
item0,2020-02-18T00:00:00,585.0,3071.0,50570.6484375,0.0,0.0,0.0,146.0,699.0,7682.2099609375,282.0,1485.0,41902.94140625,408.0,1864.0,80221.0390625,253.0,1398.0,12204.3701171875,94.0,470.0,17094.5703125,179.0,791.0,13170.33984375,439.0,2195.0,22449.119140625,103.0,515.0,4857.27001953125,592.0,2837.0,28176.109375,208.0,1040.0,16008.259765625
item0,2020-02-19T00:00:00,366.0,1756.0,26888.48046875,82.0,410.0,4168.9599609375,69.0,374.0,5728.72021484375,186.0,946.0,26019.400390625,349.0,1763.0,77982.296875,132.0,645.0,5677.47021484375,20.0,100.0,1692.0999755859375,92.0,522.0,9044.4599609375,161.0,730.0,8629.5,51.0,255.0,2403.280029296875,163.0,775.0,7328.14013671875,104.0,556.0,8162.66015625
item0,2020-02-20T00:00:00,335.0,1664.0,25722.189453125,30.0,150.0,1493.4300537109375,37.0,185.0,1880.0,148.0,718.0,19803.26953125,288.0,1440.0,58378.421875,152.0,691.0,7310.0,43.0,180.0,5377.83984375,134.0,670.0,13951.75,204.0,935.0,12753.330078125,123.0,521.0,3100.3701171875,279.0,1349.0,13804.66015625,104.0,520.0,8004.14013671875
item0,2020-02-21T00:00:00,354.0,1770.0,26363.23046875,0.0,0.0,0.0,117.0,629.0,6540.97021484375,158.0,830.0,22340.810546875,286.0,1397.0,62058.87109375,99.0,495.0,4309.6201171875,43.0,210.0,6789.39990234375,92.0,431.0,6885.509765625,159.0,834.0,9228.099609375,33.0,198.0,1788.77001953125,350.0,1726.0,17649.5703125,56.0,280.0,2349.6298828125
item0,2020-02-22T00:00:00,129.0,654.0,10138.01953125,13.0,78.0,591.7100219726562,50.0,250.0,2268.97998046875,33.0,179.0,4689.7099609375,78.0,390.0,15355.7001953125,39.0,207.0,1484.2099609375,13.0,45.0,2010.31005859375,39.0,197.0,3036.06005859375,72.0,372.0,5051.169921875,7.0,35.0,354.9100036621094,52.0,289.0,3684.18994140625,19.0,95.0,2238.239990234375
item0,2020-02-23T00:00:00,104.0,520.0,6765.08984375,12.0,60.0,842.8099975585938,12.0,68.0,866.3599853515625,53.0,271.0,7216.81982421875,98.0,478.0,24539.3203125,42.0,209.0,2118.97998046875,8.0,35.0,614.0800170898438,35.0,186.0,2701.199951171875,93.0,479.0,5013.14990234375,35.0,193.0,843.4000244140625,114.0,589.0,5192.75,41.0,227.0,3355.489990234375
item0,2020-02-24T00:00:00,740.0,3395.0,51187.171875,106.0,608.0,6632.9599609375,206.0,1072.0,14689.900390625,370.0,1985.0,53926.828125,669.0,3566.0,166843.34375,281.0,1287.0,11798.4404296875,25.0,125.0,1023.0499877929688,310.0,1518.0,22386.849609375,265.0,1358.0,16516.630859375,152.0,760.0,5083.64013671875,458.0,2297.0,20357.51953125,208.0,944.0,13746.4599609375
item0,2020-02-25T00:00:00,684.0,3524.0,49243.91015625,106.0,396.0,4447.39013671875,295.0,1357.0,17812.130859375,305.0,1643.0,42116.98828125,235.0,1094.0,38013.80078125,365.0,1717.0,17006.150390625,17.0,68.0,2041.760009765625,222.0,1109.0,20191.759765625,360.0,1833.0,24963.669921875,160.0,800.0,4843.1201171875,628.0,3009.0,32688.529296875,208.0,1136.0,18270.0703125
item0,2020-02-26T00:00:00,366.0,1843.0,27297.25,50.0,250.0,3601.10009765625,104.0,519.0,5153.5498046875,93.0,409.0,12921.1298828125,135.0,760.0,33795.4296875,143.0,757.0,7427.27001953125,43.0,223.0,6662.25,72.0,360.0,7842.56005859375,179.0,880.0,9570.9404296875,90.0,497.0,2168.280029296875,232.0,1199.0,10333.73046875,104.0,540.0,8315.5400390625
item0,2020-02-27T00:00:00,314.0,1506.0,21187.619140625,0.0,0.0,0.0,98.0,576.0,8584.8603515625,142.0,703.0,16982.650390625,201.0,1055.0,37716.8515625,100.0,552.0,4796.4599609375,34.0,170.0,7960.7001953125,120.0,620.0,12176.41015625,330.0,1673.0,20210.779296875,0.0,0.0,0.0,166.0,870.0,8028.759765625,104.0,540.0,8315.5400390625
item0,2020-02-28T00:00:00,366.0,1801.0,27748.1796875,19.0,95.0,1423.8299560546875,73.0,365.0,3527.679931640625,130.0,634.0,14602.1201171875,251.0,1167.0,52692.62109375,182.0,928.0,7420.509765625,12.0,72.0,589.280029296875,78.0,364.0,6362.97998046875,237.0,1189.0,12335.6298828125,33.0,231.0,2086.89990234375,309.0,1545.0,14079.25,104.0,520.0,8004.14013671875
item0,2020-02-29T00:00:00,138.0,765.0,11113.9296875,36.0,156.0,1953.8399658203125,26.0,130.0,1824.6700439453125,38.0,175.0,4169.43017578125,152.0,833.0,36148.08984375,54.0,244.0,2358.919921875,22.0,107.0,4811.02978515625,65.0,297.0,5494.39990234375,75.0,382.0,4537.169921875,17.0,85.0,415.5799865722656,146.0,768.0,7529.7001953125,41.0,205.0,3169.280029296875
item0,2020-03-01T00:00:00,95.0,482.0,7171.58984375,16.0,72.0,880.47998046875,18.0,90.0,1121.97998046875,24.0,114.0,2673.570068359375,89.0,455.0,19613.720703125,54.0,240.0,2262.68994140625,5.0,22.0,398.4700012207031,22.0,103.0,2068.800048828125,58.0,281.0,3387.010009765625,20.0,100.0,599.0499877929688,79.0,362.0,3740.179931640625,21.0,105.0,1611.780029296875
item0,2020-03-02T00:00:00,491.0,2547.0,37544.578125,0.0,0.0,0.0,90.0,388.0,5005.16015625,224.0,1068.0,27314.560546875,375.0,1915.0,84786.0234375,89.0,464.0,6620.2998046875,34.0,170.0,8839.5595703125,205.0,1004.0,16587.9296875,287.0,1339.0,15811.669921875,131.0,549.0,3839.97998046875,353.0,1802.0,18014.689453125,139.0,695.0,10698.1298828125
item0,2020-03-03T00:00:00,436.0,2244.0,35319.69921875,26.0,130.0,1948.3900146484375,117.0,571.0,7627.47021484375,226.0,1114.0,29092.98046875,260.0,1362.0,69080.8671875,111.0,541.0,4522.22021484375,47.0,235.0,6865.14990234375,145.0,704.0,9667.490234375,312.0,1674.0,16769.330078125,62.0,310.0,1228.010009765625,445.0,2149.0,20680.099609375,139.0,807.0,12417.3603515625
item0,2020-03-04T00:00:00,242.0,1238.0,19175.16015625,0.0,0.0,0.0,0.0,0.0,0.0,78.0,393.0,10262.33984375,252.0,1222.0,61906.4296875,106.0,492.0,3895.919921875,37.0,168.0,7371.2099609375,81.0,405.0,8422.1796875,147.0,753.0,8558.2001953125,40.0,172.0,1156.02001953125,118.0,601.0,7880.1298828125,69.0,345.0,5310.14013671875
item0,2020-03-05T00:00:00,215.0,1037.0,16564.869140625,0.0,0.0,0.0,74.0,356.0,3483.429931640625,113.0,585.0,14005.0595703125,126.0,630.0,25964.560546875,55.0,279.0,2032.010009765625,0.0,0.0,0.0,82.0,362.0,7905.22998046875,99.0,521.0,6961.81005859375,71.0,355.0,1906.9300537109375,164.0,797.0,8388.5498046875,56.0,280.0,4298.06982421875
